ID,Station1,Station2,Station3,Station4,Station5
62001,FALSE,FALSE,FALSE,FALSE,FALSE
62002,FALSE,FALSE,FALSE,FALSE,FALSE
62003,FALSE,FALSE,FALSE,FALSE,FALSE
62004,FALSE,FALSE,FALSE,FALSE,FALSE
62005,FALSE,FALSE,FALSE,FALSE,FALSE
62006,FALSE,FALSE,FALSE,FALSE,FALSE
62007,FALSE,FALSE,FALSE,FALSE,FALSE
62008,FALSE,FALSE,FALSE,FALSE,FALSE
62009,FALSE,FALSE,FALSE,FALSE,FALSE
62010,FALSE,FALSE,FALSE,FALSE,FALSE
62011,FALSE,FALSE,FALSE,FALSE,FALSE
62012,FALSE,FALSE,FALSE,FALSE,FALSE
62013,FALSE,FALSE,FALSE,FALSE,FALSE
62014,FALSE,FALSE,FALSE,FALSE,FALSE
62015,FALSE,FALSE,FALSE,FALSE,FALSE
62016,FALSE,FALSE,FALSE,FALSE,FALSE
62017,FALSE,FALSE,FALSE,FALSE,FALSE
62018,FALSE,FALSE,FALSE,FALSE,FALSE
62019,FALSE,FALSE,FALSE,FALSE,FALSE
62020,FALSE,FALSE,FALSE,FALSE,FALSE
